Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
3B,487(A) PC GRAND THEFT >$950,748,"Wed 01-01-2020, 01:15:00 AM",LARCENY,2303,1,3,1429889,3,01,2020,01,7
3B,484 PC PETTY THEFT,748,"Wed 01-01-2020, 01:30:00 AM",LARCENY,2399,2,3,1429894,3,01,2020,01,7
3A,459 PC BURG VEHICLE,725,"Wed 01-01-2020, 10:40:00 AM",BURGLARY,2299,01,3,1429896,3,01,2020,10,6
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 02:30:00 PM",BURGLARY,2205,3,4,1429900,3,01,2020,14,9
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 02:10:00 PM",BURGLARY,2205,3,4,1429902,3,01,2020,14,9
3M,484 PC PETTY THEFT,745,"Wed 01-01-2020, 01:00:00 AM",LARCENY,2399,2,3,1429903,3,01,2020,01,8
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 12:10:00 PM",BURGLARY,2205,3,4,1429906,3,01,2020,12,9
2A,484 PETTY THEFT CLOUT UNLOCKED,505,"Wed 01-01-2020, 01:00:00 AM",LARCENY,2305,0,2,1429961,3,01,2020,01,3
6A,484 PETTY THEFT/LICENSE PLATE,1061,"Thu 01-02-2020, 11:00:00 AM",LARCENY,2399,4,6,1429962,4,02,2020,11,15
4A,484G PC THEFT BY CREDIT CARD,908,"Wed 01-01-2020, 05:30:00 PM",THEFT,2605,13,4,1429968,3,01,2020,17,9
4A,484 PETTY THEFT/LICENSE PLATE,928,"Wed 01-01-2020, 08:00:00 PM",LARCENY,2399,4,4,1429969,3,01,2020,20,9
6C,459 PC BURG BUSINESS-FORCE,1111,"Thu 01-02-2020, 04:10:00 AM",BURGLARY,2203,0,6,1429983,4,02,2020,04,17
6A,484 PETTY THEFT/LICENSE PLATE,1034,"Thu 01-02-2020, 12:00:00 PM",LARCENY,2399,4,6,1429998,4,02,2020,12,15
2B,496(A) REC STOLEN PROP-FEL,542,"Wed 01-01-2020, 04:24:00 AM",STOLEN PROP,2803,0,2,1430034,3,01,2020,04,4
3B,602(L)(1)TRESPASS REFUSE TO LV,748,"Fri 01-03-2020, 12:55:00 AM",TRESPASS,5707,6,3,1430064,5,03,2020,00,7
3M,485 PC PETTY THFT LOST PROP-M,741,"Thu 01-02-2020, 12:06:00 PM",THEFT,2399,3,3,1430080,4,02,2020,12,8
4A,496(A) REC STOLEN PROP-MISD,907,"Thu 01-02-2020, 11:08:00 AM",STOLEN PROP,2803,05,4,1430091,4,02,2020,11,9
2C,211 PC ROBBERY-UNSPECIFIED,626,"Thu 01-02-2020, 11:56:00 AM",ROBBERY,1299,0,2,1430095,4,02,2020,11,5
3M,211 PC ROBBERY-UNSPECIFIED,741,"Wed 01-01-2020, 01:03:00 AM",ROBBERY,1299,0,3,1430098,3,01,2020,01,8
6B,459 PC BURG BUSINESS-FORCE,1421,"Thu 01-02-2020, 03:24:00 AM",BURGLARY,2203,0,6,1430104,4,02,2020,03,16
1C,459 PC BURG BUSINESS-FORCE,414,"Thu 01-02-2020, 08:44:00 AM",BURGLARY,2203,0,1,1430110,4,02,2020,08,2
2B,459 PC BURG BUSINESS-NO FORCE,563,"Thu 01-02-2020, 09:43:00 AM",BURGLARY,2205,0,2,1430111,4,02,2020,09,4
1A,459 PC BURG VEHICLE,302,"Wed 01-01-2020, 10:00:00 AM",BURGLARY,2299,01,1,1430116,3,01,2020,10,0
3M,487(A) PC GRAND THEFT >$950,744,"Wed 01-01-2020, 12:30:00 PM",LARCENY,2303,1,3,1430125,3,01,2020,12,8
2C,487(A) PC GRAND THEFT >$950,619,"Thu 01-02-2020, 02:38:00 PM",LARCENY,2303,1,2,1430144,4,02,2020,14,5
6D,211 PC ROBBERY-UNSPECIFIED,851,"Thu 01-02-2020, 04:04:00 PM",ROBBERY,1299,0,6,1430145,4,02,2020,16,18
2B,459 PC BURG VEHICLE,564,"Wed 01-01-2020, 05:30:00 PM",BURGLARY,2299,01,2,1430151,3,01,2020,17,4
2C,459 PC BURG RESIDENCE-FORCE,612,"Wed 01-01-2020, 07:43:00 AM",BURGLARY,2202,0,2,1430157,3,01,2020,07,5
4C,484 PETTY THEFT/LICENSE PLATE,1286,"Thu 01-02-2020, 09:09:00 PM",LARCENY,2399,4,4,1430184,4,02,2020,21,11
4A,484 PETTY THEFT/LICENSE PLATE,903,"Wed 01-01-2020, 06:00:00 PM",LARCENY,2399,4,4,1430199,3,01,2020,18,9
3A,484 PC PETTY THEFT,703,"Fri 01-03-2020, 12:36:00 PM",LARCENY,2399,2,3,1430200,5,03,2020,12,6
3A,459 PC BURG VEHICLE,725,"Wed 01-01-2020, 02:00:00 AM",BURGLARY,2299,01,3,1430204,3,01,2020,02,6
6D,484 PC PETTY THEFT,841,"Thu 01-02-2020, 01:34:00 PM",LARCENY,2399,2,6,1430208,4,02,2020,13,18
2C,459 PC BURG BUSINESS-FORCE,619,"Thu 01-02-2020, 11:42:00 AM",BURGLARY,2203,0,2,1430210,4,02,2020,11,5
6E,459 PC BURG VEHICLE,898,"Wed 01-01-2020, 06:15:00 PM",BURGLARY,2299,01,6,1430218,3,01,2020,18,19
5A,484 PC PETTY THEFT,1522,"Thu 01-02-2020, 12:28:00 PM",LARCENY,2399,2,5,1430222,4,02,2020,12,12
3A,484 PC PETTY THEFT,776,"Wed 01-01-2020, 09:08:00 PM",LARCENY,2399,2,3,1430224,3,01,2020,21,6
6A,484 PETTY THEFT/LICENSE PLATE,1001,"Thu 01-02-2020, 06:00:00 PM",LARCENY,2399,4,6,1430226,4,02,2020,18,15
3M,484 PC PETTY THEFT,742,"Fri 01-03-2020, 08:05:00 AM",LARCENY,2399,2,3,1430229,5,03,2020,08,8
4B,459.5 BURGLARY SHOPLIFT < $950,1356,"Thu 01-02-2020, 08:59:00 PM",BURGLARY,2205,3,4,1430282,4,02,2020,20,10
1B,O/S AGENCY  10851 VC LOCATE,478,"Fri 01-03-2020, 12:27:00 PM",AUTO THEFT,2404,13,1,1430297,5,03,2020,12,1
6E,459 PC BURG RESIDENCE-NO FORCE,878,"Thu 01-02-2020, 08:11:00 PM",BURGLARY,2204,0,6,1430319,4,02,2020,20,19
5C,459 PC BURG RESIDENCE-NO FORCE,1637,"Thu 01-02-2020, 06:49:00 PM",BURGLARY,2204,0,5,1430330,4,02,2020,18,14
3B,211 PC ROBBERY-PURSE SNATCH,748,"Fri 01-03-2020, 08:42:00 PM",ROBBERY,1210,0,3,1430336,5,03,2020,20,7
5C,487(D)(2) GRAND THFT GUN <$950,1606,"Fri 01-03-2020, 06:12:00 PM",LARCENY,2399,32,5,1430341,5,03,2020,18,14
3A,484 PC PETTY THEFT,773,"Wed 01-01-2020, 07:00:00 PM",LARCENY,2399,2,3,1430342,3,01,2020,19,6
5A,459 PC BURG VEHICLE,1522,"Thu 01-02-2020, 02:11:00 PM",BURGLARY,2299,01,5,1430346,4,02,2020,14,12
6C,602(K)TRESPASS:INJURE PROPERTY,1441,"Fri 01-03-2020, 10:54:00 AM",TRESPASS,5707,5,6,1430356,5,03,2020,10,17
5A,459 PC BURG VEHICLE,1394,"Fri 01-03-2020, 05:30:00 AM",BURGLARY,2299,01,5,1430371,5,03,2020,05,12
2B,484 PC PETTY THEFT,537,"Thu 01-02-2020, 09:30:00 PM",LARCENY,2399,2,2,1430372,4,02,2020,21,4
1B,459 PC BURG VEHICLE,353,"Fri 01-03-2020, 01:00:00 AM",BURGLARY,2299,01,1,1430373,5,03,2020,01,1
1C,459 PC BURG BUSINESS-FORCE,409,"Wed 01-01-2020, 01:01:00 AM",BURGLARY,2203,0,1,1430375,3,01,2020,01,2
1B,459 PC BURG VEHICLE,353,"Fri 01-03-2020, 01:00:00 AM",BURGLARY,2299,01,1,1430377,5,03,2020,01,1
6D,459 PC BURG VEHICLE,841,"Fri 01-03-2020, 01:00:00 AM",BURGLARY,2299,01,6,1430381,5,03,2020,01,18
4C,459 PC BURG VEHICLE,1251,"Wed 01-01-2020, 11:00:00 PM",BURGLARY,2299,01,4,1430383,3,01,2020,23,11
5C,212.5(A)ROBBERY-INHAB DWELLING,1644,"Fri 01-03-2020, 12:47:00 PM",ROBBERY,1299,3,5,1430390,5,03,2020,12,14
5C,459.5 BURGLARY SHOPLIFT < $950,1639,"Thu 01-02-2020, 09:39:00 PM",BURGLARY,2205,3,5,1430391,4,02,2020,21,14
3A,602(L)(1)TRESPASS REFUSE TO LV,704,"Fri 01-03-2020, 10:56:00 PM",TRESPASS,5707,6,3,1430481,5,03,2020,22,6
6C,496(A) REC STOLEN PROP-MISD,1114,"Sat 01-04-2020, 12:45:00 PM",STOLEN PROP,2803,05,6,1430501,6,04,2020,12,17
3A,211 PC ROBBERY-PURSE SNATCH,712,"Sat 01-04-2020, 12:54:00 AM",ROBBERY,1210,0,3,1430502,6,04,2020,00,6
1B,459 PC BURG VEHICLE,353,"Fri 01-03-2020, 02:47:00 AM",BURGLARY,2299,01,1,1430508,5,03,2020,02,1
1B,459 PC BURG VEHICLE,353,"Fri 01-03-2020, 11:18:00 PM",BURGLARY,2299,01,1,1430516,5,03,2020,23,1
6D,459 PC BURG RESIDENCE-NO FORCE,832,"Thu 01-02-2020, 11:46:00 AM",BURGLARY,2204,0,6,1430520,4,02,2020,11,18
2A,484 PETTY THEFT/LICENSE PLATE,224,"Sat 01-04-2020, 02:30:00 PM",LARCENY,2399,4,2,1430533,6,04,2020,14,3
3A,484 PETTY THEFT/LICENSE PLATE,785,"Fri 01-03-2020, 07:00:00 PM",LARCENY,2399,4,3,1430542,5,03,2020,19,6
6B,484 PETTY THEFT/LICENSE PLATE,1065,"Thu 01-02-2020, 12:00:00 AM",LARCENY,2399,4,6,1430557,4,02,2020,00,16
6C,496(A) REC STOLEN PROP-MISD,1447,"Sun 01-05-2020, 01:50:00 AM",STOLEN PROP,2803,05,6,1430567,7,05,2020,01,17
2A,496D(A) PURCH STLN VEH-FEL,226,"Sat 01-04-2020, 11:30:00 PM",STOLEN PROP,2803,04,2,1430570,6,04,2020,23,3
3M,484 PC PETTY THEFT/INSIDE,742,"Fri 01-03-2020, 04:19:00 PM",LARCENY,2308,0,3,1430578,5,03,2020,16,8
3A,587B PC TRESPASS RR/TRAIN,765,"Thu 01-02-2020, 03:31:00 PM",TRESPASS,5707,11,3,1430590,4,02,2020,15,6
2C,602 PC TRESPASS,618,"Sun 01-05-2020, 04:10:00 PM",PRIVACY,5707,0,2,1430601,7,05,2020,16,5
6B,O/S AGENCY  10851 VC LOCATE,1065,"Sun 01-05-2020, 02:59:00 PM",AUTO THEFT,2404,13,6,1430602,7,05,2020,14,16
6E,459 PC BURG BUSINESS-FORCE,1117,"Sun 01-05-2020, 12:00:00 AM",BURGLARY,2203,0,6,1430607,7,05,2020,00,19
6E,211 PC ROBBERY-SHOPLIFT,1101,"Sat 01-04-2020, 04:14:00 PM",ROBBERY,1203,0,6,1430608,6,04,2020,16,19
3B,459 PC BURG BUSINESS-FORCE,746,"Fri 01-03-2020, 03:18:00 AM",BURGLARY,2203,0,3,1430609,5,03,2020,03,7
6D,459 PC BURG RESIDENCE-FORCE,832,"Sat 01-04-2020, 01:12:00 AM",BURGLARY,2202,0,6,1430610,6,04,2020,01,18
5B,459 PC BURG RESIDENCE-FORCE,1603,"Thu 01-02-2020, 07:30:00 PM",BURGLARY,2202,0,5,1430611,4,02,2020,19,13
3B,459 PC BURG BUSINESS-FORCE,726,"Thu 01-02-2020, 06:44:00 AM",BURGLARY,2203,0,3,1430612,4,02,2020,06,7
6D,1708 US THEFT OF MAIL,861,"Thu 01-02-2020, 11:27:00 AM",LARCENY,2310,0,6,1430623,4,02,2020,11,18
3B,459 PC BURG VEHICLE,746,"Fri 01-03-2020, 08:15:00 PM",BURGLARY,2299,01,3,1430624,5,03,2020,20,7
1A,459 PC BURG VEHICLE,306,"Fri 01-03-2020, 06:25:00 PM",BURGLARY,2299,01,1,1430625,5,03,2020,18,0
5C,459 PC BURG VEHICLE,1605,"Sat 01-04-2020, 07:00:00 AM",BURGLARY,2299,01,5,1430629,6,04,2020,07,14
2A,459 PC BURG VEHICLE,517,"Sat 01-04-2020, 09:05:00 AM",BURGLARY,2299,01,2,1430632,6,04,2020,09,3
6B,459 PC BURG RESIDENCE-NO FORCE,1068,"Thu 01-02-2020, 09:00:00 PM",BURGLARY,2204,0,6,1430639,4,02,2020,21,16
6B,459 PC BURG VEHICLE,1058,"Sat 01-04-2020, 05:00:00 AM",BURGLARY,2299,01,6,1430640,6,04,2020,05,16
5C,211 PC ROBBERY-UNSPECIFIED,1623,"Sun 01-05-2020, 07:49:00 PM",ROBBERY,1299,0,5,1430644,7,05,2020,19,14
5B,484 PC PETTY THEFT,1359,"Sat 01-04-2020, 06:30:00 AM",LARCENY,2399,2,5,1430646,6,04,2020,06,13
1C,459 PC BURG VEHICLE,407,"Fri 01-03-2020, 10:25:00 PM",BURGLARY,2299,01,1,1430647,5,03,2020,22,2
1B,459 PC BURG RESIDENCE-FORCE,421,"Sat 01-04-2020, 12:00:00 AM",BURGLARY,2202,0,1,1430650,6,04,2020,00,1
3B,459 PC BURG VEHICLE,747,"Thu 01-02-2020, 06:20:00 PM",BURGLARY,2299,01,3,1430651,4,02,2020,18,7
2C,487(A) PC GRAND THEFT >$950,616,"Fri 01-03-2020, 06:50:00 PM",LARCENY,2303,1,2,1430652,5,03,2020,18,5
5A,496(A) REC STOLEN PROP-FEL,1394,"Sun 01-05-2020, 04:21:00 PM",STOLEN PROP,2803,0,5,1430662,7,05,2020,16,12
5C,484 PC PETTY THEFT,1606,"Sun 01-05-2020, 08:14:00 PM",LARCENY,2399,2,5,1430673,7,05,2020,20,14
3B,487(C) GRAND THEFT-PERS <$950,736,"Sun 01-05-2020, 08:57:00 PM",LARCENY,2301,0A,3,1430674,7,05,2020,20,7
4C,484 PC PETTY THEFT,985,"Mon 01-06-2020, 08:30:00 AM",LARCENY,2399,2,4,1430691,1,06,2020,08,11
4C,459 PC BURG VEHICLE,1251,"Wed 01-01-2020, 04:00:00 PM",BURGLARY,2299,01,4,1430700,3,01,2020,16,11
3M,484 PC PETTY THEFT,732,"Sat 01-04-2020, 06:00:00 PM",LARCENY,2399,2,3,1430718,6,04,2020,18,8
6D,484 PC PETTY THEFT,855,"Wed 01-01-2020, 08:00:00 AM",LARCENY,2399,2,6,1430720,3,01,2020,08,18
6B,212.5(B) ROB-VICINITY OF ATM,1401,"Sun 01-05-2020, 10:22:00 PM",ROBBERY,1299,4,6,1430723,7,05,2020,22,16
5B,459 PC BURG RESIDENCE-FORCE,1621,"Sat 01-04-2020, 07:00:00 PM",BURGLARY,2202,0,5,1430741,6,04,2020,19,13
1B,O/S AGENCY  10851 VC LOCATE,421,"Mon 01-06-2020, 01:59:00 PM",AUTO THEFT,2404,13,1,1430746,1,06,2020,13,1
4B,484 PC PETTY THEFT,1356,"Fri 01-03-2020, 12:30:00 PM",LARCENY,2399,2,4,1430758,5,03,2020,12,10
4A,O/S AGENCY  10851 VC LOCATE,933,"Mon 01-06-2020, 05:19:00 PM",AUTO THEFT,2404,13,4,1430768,1,06,2020,17,9
6E,602 PC TRESPASS,1115,"Fri 01-03-2020, 06:11:00 AM",PRIVACY,5707,0,6,1430770,5,03,2020,06,19
3M,602(K)TRESPASS:INJURE PROPERTY,744,"Mon 01-06-2020, 11:10:00 PM",TRESPASS,5707,5,3,1430802,1,06,2020,23,8
2A,484 PETTY THEFT CLOUT UNLOCKED,504,"Tue 01-07-2020, 12:00:00 AM",LARCENY,2305,0,2,1430810,2,07,2020,00,3
2A,211 PC ROBBERY-PURSE SNATCH,232,"Mon 01-06-2020, 10:06:00 PM",ROBBERY,1210,0,2,1430812,1,06,2020,22,3
5B,484 PETTY THEFT/LICENSE PLATE,1602,"Mon 01-06-2020, 03:22:00 PM",LARCENY,2399,4,5,1430814,1,06,2020,15,13
2A,211 PC ROBBERY-PURSE SNATCH,233,"Mon 01-06-2020, 03:30:00 PM",ROBBERY,1210,0,2,1430816,1,06,2020,15,3
5C,211 PC ROBBERY-UNSPECIFIED,1623,"Fri 01-03-2020, 08:00:00 PM",ROBBERY,1299,0,5,1430817,5,03,2020,20,14
6C,484 PETTY THEFT/LICENSE PLATE,1441,"Tue 01-07-2020, 11:00:00 AM",LARCENY,2399,4,6,1430841,2,07,2020,11,17
5A,484 PC PETTY THEFT,1522,"Sun 01-05-2020, 07:00:00 PM",LARCENY,2399,2,5,1430846,7,05,2020,19,12
4A,484 PC PETTY THEFT,936,"Tue 01-07-2020, 02:50:00 PM",LARCENY,2399,2,4,1430864,2,07,2020,14,9
4A,496D(A) PURCH STLN VEH-FEL,906,"Tue 01-07-2020, 12:06:00 AM",STOLEN PROP,2803,04,4,1430873,2,07,2020,00,9
5C,211 PC ROBBERY-UNSPECIFIED,1606,"Tue 01-07-2020, 12:19:00 AM",ROBBERY,1299,0,5,1430874,2,07,2020,00,14
3M,211 PC ROBBERY-BUSINESS,732,"Tue 01-07-2020, 10:32:00 AM",ROBBERY,1299,2,3,1430878,2,07,2020,10,8
3B,484 PETTY THEFT/LICENSE PLATE,768,"Tue 01-07-2020, 11:00:00 AM",LARCENY,2399,4,3,1430881,2,07,2020,11,7
6E,487(A) PC GRAND THEFT >$950,1102,"Thu 01-02-2020, 09:00:00 PM",LARCENY,2303,1,6,1430883,4,02,2020,21,19
2C,487(C) GRAND THEFT-PURSE SNTCH,603,"Sun 01-05-2020, 03:04:00 PM",LARCENY,2302,0,2,1430899,7,05,2020,15,5
6C,459 PC BURG BUSINESS-FORCE,1446,"Mon 01-06-2020, 02:17:00 AM",BURGLARY,2203,0,6,1430901,1,06,2020,02,17
5C,459 PC BURG RESIDENCE-FORCE,1651,"Thu 01-02-2020, 01:00:00 PM",BURGLARY,2202,0,5,1430905,4,02,2020,13,14
1A,459 PC BURG VEHICLE,337,"Tue 01-07-2020, 07:16:00 PM",BURGLARY,2299,01,1,1430953,2,07,2020,19,0
3B,459 PC BURG VEHICLE,748,"Thu 01-02-2020, 07:35:00 PM",BURGLARY,2299,01,3,1431007,4,02,2020,19,7
1B,459 PC BURG VEHICLE,444,"Thu 01-02-2020, 12:00:00 PM",BURGLARY,2299,01,1,1431008,4,02,2020,12,1
3A,602(H)(1)TRESPASS POSTED LAND,704,"Tue 01-07-2020, 05:26:00 AM",TREPASS,5707,08,3,1431010,2,07,2020,05,6
1B,459 PC BURG VEHICLE,435,"Sat 01-04-2020, 12:00:00 AM",BURGLARY,2299,01,1,1431012,6,04,2020,00,1
3B,484 PC PETTY THEFT,746,"Tue 01-07-2020, 06:45:00 PM",LARCENY,2399,2,3,1431018,2,07,2020,18,7
6D,484 PC PETTY THEFT,821,"Tue 01-07-2020, 08:00:00 AM",LARCENY,2399,2,6,1431019,2,07,2020,08,18
3M,484 PC PETTY THEFT,742,"Mon 01-06-2020, 08:30:00 PM",LARCENY,2399,2,3,1431020,1,06,2020,20,8
1A,459 PC BURG VEHICLE,337,"Tue 01-07-2020, 07:16:00 PM",BURGLARY,2299,01,1,1431033,2,07,2020,19,0
1A,484 PC PETTY THEFT,123,"Tue 01-07-2020, 01:30:00 PM",LARCENY,2399,2,1,1431037,2,07,2020,13,0
1A,459 PC BURG VEHICLE,337,"Tue 01-07-2020, 08:12:00 PM",BURGLARY,2299,01,1,1431040,2,07,2020,20,0
2C,484 PC PETTY THEFT,603,"Sun 01-05-2020, 01:15:00 PM",LARCENY,2399,2,2,1431042,7,05,2020,13,5
5B,459 PC BURG VEHICLE,1399,"Wed 01-08-2020, 08:58:00 AM",BURGLARY,2299,01,5,1431045,3,08,2020,08,13
1A,484 PC PETTY THEFT,328,"Sun 01-05-2020, 01:00:00 PM",LARCENY,2399,2,1,1431048,7,05,2020,13,0
2C,484 PC PETTY THEFT,637,"Sun 01-05-2020, 02:30:00 PM",LARCENY,2399,2,2,1431050,7,05,2020,14,5
3M,484 PC PETTY THEFT,732,"Thu 01-02-2020, 01:30:00 PM",LARCENY,2399,2,3,1431051,4,02,2020,13,8
4B,484 PC PETTY THEFT,1356,"Mon 01-06-2020, 11:15:00 AM",LARCENY,2399,2,4,1431052,1,06,2020,11,10
5B,484 PC PETTY THEFT,1603,"Sat 01-04-2020, 10:50:00 PM",LARCENY,2399,2,5,1431054,6,04,2020,22,13
4C,484 PC PETTY THEFT,1278,"Fri 01-03-2020, 05:15:00 PM",LARCENY,2399,2,4,1431055,5,03,2020,17,11
1A,484 PC PETTY THEFT,343,"Mon 01-06-2020, 06:06:00 PM",LARCENY,2399,2,1,1431057,1,06,2020,18,0
4A,484 PC PETTY THEFT,913,"Mon 01-06-2020, 04:15:00 PM",LARCENY,2399,2,4,1431058,1,06,2020,16,9
4C,484 PC PETTY THEFT,1298,"Mon 01-06-2020, 04:30:00 PM",LARCENY,2399,2,4,1431060,1,06,2020,16,11
1A,484 PC PETTY THEFT,123,"Mon 01-06-2020, 04:05:00 PM",LARCENY,2399,2,1,1431061,1,06,2020,16,0
2B,484 PC PETTY THEFT,553,"Thu 01-02-2020, 11:10:00 AM",LARCENY,2399,2,2,1431062,4,02,2020,11,4
3M,484 PC PETTY THEFT,732,"Sun 01-05-2020, 12:30:00 AM",LARCENY,2399,2,3,1431064,7,05,2020,00,8
4B,459 PC BURG RESIDENCE-FORCE,969,"Wed 01-08-2020, 09:00:00 AM",BURGLARY,2202,0,4,1431066,3,08,2020,09,10
3B,459 PC BURG VEHICLE,738,"Tue 01-07-2020, 08:50:00 PM",BURGLARY,2299,01,3,1431072,2,07,2020,20,7
3B,459.5 BURGLARY SHOPLIFT < $950,737,"Mon 01-06-2020, 04:46:00 PM",BURGLARY,2205,3,3,1431074,1,06,2020,16,7
6D,459 PC BURG VEHICLE,841,"Sun 01-05-2020, 05:40:00 PM",BURGLARY,2299,01,6,1431075,7,05,2020,17,18
4C,484 PETTY THEFT CLOUT UNLOCKED,1286,"Sun 01-05-2020, 02:00:00 AM",LARCENY,2305,0,4,1431080,7,05,2020,02,11
6D,484 PETTY THEFT CLOUT UNLOCKED,811,"Fri 01-03-2020, 07:30:00 PM",LARCENY,2305,0,6,1431081,5,03,2020,19,18
1A,484 PC PETTY THEFT,328,"Fri 01-03-2020, 09:21:00 PM",LARCENY,2399,2,1,1431086,5,03,2020,21,0
1A,484 PC PETTY THEFT,307,"Fri 01-03-2020, 02:50:00 PM",LARCENY,2399,2,1,1431088,5,03,2020,14,0
1B,1708 US THEFT OF MAIL,478,"Mon 01-06-2020, 03:02:00 PM",LARCENY,2310,0,1,1431089,1,06,2020,15,1
6A,1708 US THEFT OF MAIL,1001,"Sun 01-05-2020, 06:05:00 PM",LARCENY,2310,0,6,1431090,7,05,2020,18,15
4A,487(A) PC GRAND THEFT >$950,906,"Sun 01-05-2020, 10:00:00 PM",LARCENY,2303,1,4,1431092,7,05,2020,22,9
4C,484 PC PETTY THEFT/OUTSIDE,1259,"Wed 01-08-2020, 04:24:00 AM",LARCENY,2309,0,4,1431098,3,08,2020,04,11
1B,O/S AGENCY  10851 VC LOCATE,478,"Tue 01-07-2020, 10:22:00 AM",AUTO THEFT,2404,13,1,1431108,2,07,2020,10,1
4A,487(A) PC GRAND THEFT >$950,936,"Sat 01-04-2020, 03:20:00 AM",LARCENY,2303,1,4,1431109,6,04,2020,03,9
5C,459 PC BURG VEHICLE,1654,"Sun 01-05-2020, 02:00:00 AM",BURGLARY,2299,01,5,1431110,7,05,2020,02,14
3B,487(A) PC GRAND THEFT >$950,747,"Sat 01-04-2020, 05:15:00 AM",LARCENY,2303,1,3,1431111,6,04,2020,05,7
6B,459 PC BURG RESIDENCE-NO FORCE,1018,"Wed 01-08-2020, 02:45:00 AM",BURGLARY,2204,0,6,1431121,3,08,2020,02,16
4C,459 PC BURG VEHICLE,1295,"Sat 01-04-2020, 07:30:00 PM",BURGLARY,2299,01,4,1431135,6,04,2020,19,11
3A,459 PC BURG VEHICLE,725,"Sun 01-05-2020, 03:00:00 AM",BURGLARY,2299,01,3,1431138,7,05,2020,03,6
4B,459 PC BURG VEHICLE,986,"Sun 01-05-2020, 04:00:00 AM",BURGLARY,2299,01,4,1431140,7,05,2020,04,10
1B,211 PC ROBBERY-SHOPLIFT,412,"Tue 01-07-2020, 06:06:00 PM",ROBBERY,1203,0,1,1431142,2,07,2020,18,1
3A,484G PC THEFT BY CREDIT CARD,765,"Fri 01-03-2020, 11:40:00 AM",THEFT,2605,13,3,1431152,5,03,2020,11,6
5C,459 PC BURG VEHICLE,1647,"Fri 01-03-2020, 07:00:00 PM",BURGLARY,2299,01,5,1431160,5,03,2020,19,14
1A,459 PC BURG VEHICLE,337,"Tue 01-07-2020, 08:03:00 PM",BURGLARY,2299,01,1,1431162,2,07,2020,20,0
1B,459 PC BURG RESIDENCE-FORCE,478,"Wed 01-08-2020, 04:19:00 AM",BURGLARY,2202,0,1,1431164,3,08,2020,04,1
1B,211 PC ROBBERY-UNSPECIFIED,473,"Mon 01-06-2020, 10:02:00 PM",ROBBERY,1299,0,1,1431167,1,06,2020,22,1
2B,211 PC ROBBERY-PURSE SNATCH,556,"Mon 01-06-2020, 09:27:00 PM",ROBBERY,1210,0,2,1431168,1,06,2020,21,4
2B,459 PC BURG BUSINESS-FORCE,546,"Thu 01-02-2020, 04:00:00 PM",BURGLARY,2203,0,2,1431171,4,02,2020,16,4
5C,459 PC BURG RESIDENCE-FORCE,1644,"Thu 01-02-2020, 06:30:00 AM",BURGLARY,2202,0,5,1431172,4,02,2020,06,14
1C,459 PC BURG BUSINESS-FORCE,429,"Fri 01-03-2020, 12:21:00 AM",BURGLARY,2203,0,1,1431173,5,03,2020,00,2
2C,484 PC PETTY THEFT,616,"Tue 01-07-2020, 10:42:00 AM",LARCENY,2399,2,2,1431178,2,07,2020,10,5
6B,484 PETTY THEFT/LICENSE PLATE,1421,"Wed 01-08-2020, 04:00:00 PM",LARCENY,2399,4,6,1431188,3,08,2020,16,16
6D,211 PC ROBBERY-BANK,841,"Wed 01-08-2020, 02:10:00 PM",ROBBERY,1211,0,6,1431193,3,08,2020,14,18
4A,211 PC ROBBERY-BUSINESS,907,"Wed 01-08-2020, 01:50:00 PM",ROBBERY,1299,2,4,1431194,3,08,2020,13,9
4B,459 PC BURG RESIDENCE-NO FORCE,968,"Mon 01-06-2020, 07:00:00 PM",BURGLARY,2204,0,4,1431199,1,06,2020,19,10
6B,459 PC BURG BUSINESS-FORCE,1067,"Tue 01-07-2020, 03:13:00 AM",BURGLARY,2203,0,6,1431200,2,07,2020,03,16
4C,459 PC BURG RESIDENCE-FORCE,1283,"Fri 01-03-2020, 12:00:00 PM",BURGLARY,2202,0,4,1431202,5,03,2020,12,11
4B,459 PC BURG RESIDENCE-FORCE,969,"Mon 01-06-2020, 07:00:00 PM",BURGLARY,2202,0,4,1431204,1,06,2020,19,10
2A,487(A) PC GRAND THEFT >$950,216,"Mon 01-06-2020, 11:18:00 PM",LARCENY,2303,1,2,1431207,1,06,2020,23,3
3M,459 PC BURG BUSINESS-FORCE,741,"Mon 01-06-2020, 05:00:00 PM",BURGLARY,2203,0,3,1431208,1,06,2020,17,8
2A,O/S AGENCY  10851 VC LOCATE,235,"Tue 01-07-2020, 04:00:00 PM",AUTO THEFT,2404,13,2,1431210,2,07,2020,16,3
6C,487(C) GRAND THEFT-PERS <$950,1131,"Tue 01-07-2020, 03:11:00 PM",LARCENY,2301,0A,6,1431211,2,07,2020,15,17
2C,484 PETTY THEFT-SHOPLIFT,628,"Wed 01-08-2020, 02:38:00 PM",LARCENY,2303,3,2,1431213,3,08,2020,14,5
