Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
6D,487(A) PC GRAND THEFT >$950,832,"Tue 04-28-2020, 06:30:00 PM",LARCENY,2303,1,6,1452130,2,28,2020,18,18
4A,484 PC PETTY THEFT,928,"Wed 04-29-2020, 05:30:00 PM",LARCENY,2399,2,4,1452131,3,29,2020,17,9
3M,459 PC BURG BUSINESS-NO FORCE,742,"Thu 04-30-2020, 02:35:00 AM",BURGLARY,2205,0,3,1452133,4,30,2020,02,8
4A,O/S AGENCY  10851 VC LOCATE,903,"Thu 04-30-2020, 06:45:00 PM",AUTO THEFT,2404,13,4,1452140,4,30,2020,18,9
2A,O/S AGENCY  10851 VC LOCATE,216,"Fri 05-01-2020, 01:28:00 AM",AUTO THEFT,2404,13,2,1452147,5,01,2020,01,3
5B,484 PC PETTY THEFT,1359,"Wed 04-29-2020, 06:40:00 PM",LARCENY,2399,2,5,1452152,3,29,2020,18,13
1B,484 PETTY THEFT CLOUT UNLOCKED,443,"Wed 04-29-2020, 02:30:00 AM",LARCENY,2305,0,1,1452154,3,29,2020,02,1
4B,487(A) PC GRAND THEFT >$950,958,"Fri 05-01-2020, 12:30:00 PM",LARCENY,2303,1,4,1452155,5,01,2020,12,10
4A,487(A) PC GRAND THEFT >$950,905,"Wed 04-29-2020, 07:00:00 PM",LARCENY,2303,1,4,1452163,3,29,2020,19,9
3B,459 PC BURG VEHICLE,736,"Thu 04-30-2020, 07:00:00 PM",BURGLARY,2299,01,3,1452167,4,30,2020,19,7
5B,459 PC BURG VEHICLE,1603,"Thu 04-30-2020, 07:15:00 AM",BURGLARY,2299,01,5,1452171,4,30,2020,07,13
2A,487(A) PC GRAND THEFT >$950,501,"Sat 04-25-2020, 07:20:00 PM",LARCENY,2303,1,2,1452172,6,25,2020,19,3
2B,484 PETTY THEFT CLOUT UNLOCKED,523,"Wed 04-29-2020, 05:20:00 PM",LARCENY,2305,0,2,1452173,3,29,2020,17,4
5A,459 PC BURG VEHICLE,1381,"Fri 05-01-2020, 01:00:00 AM",BURGLARY,2299,01,5,1452174,5,01,2020,01,12
6C,459 PC BURG VEHICLE,1443,"Mon 04-27-2020, 12:30:00 AM",BURGLARY,2299,01,6,1452175,1,27,2020,00,17
