hotness_score,supply_score,demand_score,median_listing_price
81.35,81.62,81.09,375192.86
79.02,73.5,84.54,754552.86
77.23,81.62,72.84,606671.43
70.23,81.62,58.83,676764.29
96.36,99.41,93.31,274000
96.28,94.67,97.9,324950
94.5,95.5,93.51,499550
94.26,94.24,94.28,315500
94.12,90.9,97.34,299550
93.74,90.3,97.18,265045
92.62,93.77,91.48,422500
92.2,92.81,91.59,342450
92.15,93.37,90.92,699500
92.13,94.24,90.02,346050
88.95,88.84,89.06,306232
86.12,87.25,85,357050
86,88.84,83.15,295500
85.94,82.17,89.71,302550
85.01,86.53,83.49,300040
84.09,90.3,77.87,404487.5
83.02,84.33,81.71,472000
82.37,79.97,84.77,579050
81.59,80.69,82.5,797500
79.45,76.44,82.46,349050
78.77,82.17,75.38,379050
77.59,83.55,71.63,381494
73.95,67.13,80.78,345500
71.75,67.13,76.36,799930
69.72,66.25,73.18,690050
95.63,96.69,94.58,425907
95.31,97.36,93.25,254050
94.23,92.42,96.03,330050
91.5,85.48,97.52,259050
91.05,89.72,92.37,305050
91,92.42,89.57,699295
90.85,92.42,89.27,339950
89.29,83.57,95.01,295050
89.03,88.56,89.5,724950
88.47,94.82,82.12,475050
88.01,89.72,86.3,349050
85.72,79.56,91.89,490000
83.62,77.64,89.59,324550
83.36,93.59,73.13,399050
83.23,88.56,77.91,340050
82.59,83.57,81.61,306050
82.39,87.45,77.34,290049
82.12,81.52,82.72,850000
80.74,77.12,84.37,600049
80.41,83.57,77.26,385050
78.31,83.57,73.06,369050
76.49,81.52,71.46,335050
74.88,77.64,72.12,375050
65.59,79.56,51.61,549050
92.06,93.63,90.48,344549.5
91.75,92.95,90.55,338300
91.73,86.47,96.99,285050
91.4,92.04,90.76,494300
90.97,89.02,92.92,686550
90.88,89.02,92.75,432050
88.84,88.3,89.38,375000
88.42,83.04,93.81,322550
88.02,92.04,83.99,472000
87.78,90.3,85.27,297500
87.21,83.79,90.63,335050
86.73,82.32,91.14,249950
86.3,86.47,86.12,364550
86.04,83.04,89.04,609800
83.87,79.66,88.07,264050
83.66,81.5,85.82,809050
82.6,81.5,83.7,292550
81.92,81.5,82.35,313800
81.1,81.5,80.71,275050
80.03,72.77,87.28,288550
78.92,84.34,73.51,334535
75.73,76.25,75.21,382173.5
70.8,86.47,55.12,689550
70.02,67.25,72.79,699050
96.32,95.77,96.86,699950
94.6,95.07,94.12,422371.43
94.37,96.64,92.09,469050
93.3,96.33,90.27,612857.14
93.12,93.6,92.64,257585.71
90.41,87.47,93.35,320000
90.23,88,92.47,339450
90.11,84.01,96.21,280000
89.19,89.2,89.17,338800
88.39,89.76,87.02,289278.57
88.04,88.7,87.39,334500
86.55,88.7,84.41,259950
83.39,92.48,74.3,364907.14
83.18,85.25,81.11,258428.57
81.85,74.77,88.92,376050
79.5,80.16,78.83,270814.29
79.47,90.38,68.56,396295
78.73,80.16,77.29,329807.14
77,65.24,88.75,865966.29
76.27,71.58,80.97,648536.43
73.07,75.9,70.24,299121.43
71.35,57.9,84.81,477907.14
70.96,69.09,72.83,296400
48.27,46.26,50.28,693321.43
95.85,95.6,96.1,679950
93.25,91.69,94.8,507621.43
92.17,95.6,88.75,247335.71
92.09,96.94,87.24,328950
91.62,90.43,92.81,442121.43
91.26,92.46,90.05,322550
89.66,90.43,88.88,587807.14
88.16,85.19,91.13,345664.29
87.75,85.7,89.81,322800.29
87.39,88.02,86.77,284278.57
87.38,92.46,82.3,260478.57
84.51,75.19,93.83,279721.43
84.1,88.02,80.18,633501.43
82.59,86.86,78.31,271864.29
82.28,93.28,71.28,362907.14
80.89,84.6,77.19,257092.86
79.68,69.89,89.46,834716.29
79.62,73.07,86.17,462907.14
79.5,89.06,69.95,296621.43
77.03,89.06,65,409711.43
76.93,66.23,87.64,365278.57
75.59,73.07,78.1,284850
72.4,81.19,63.6,328807.14
60.27,58.57,61.97,574764.29
45.7,48.7,42.7,723221.43
93.72,90.08,97.36,664950
91.37,91.27,91.48,589950
91.01,96.52,85.5,265050
90.83,94.73,86.92,284550
89.98,84.84,95.11,487050
89.02,86.67,91.36,279750
88.69,87.44,89.94,447550
88.36,91.27,85.46,311050
87.68,89.21,86.16,792800
87.18,90.08,84.28,325550
85.31,85.55,85.07,349050
85.29,85.86,84.71,251550
84.99,86.25,83.73,272500
84.92,95.78,74.05,489050
83.61,83.46,83.76,321994
82.95,90.49,75.41,265000
81.99,90.08,73.89,250800
81.62,79.07,84.17,239050
81.42,89.72,73.12,362050
81.16,77.17,85.15,450000
79.93,75.68,84.19,362549.5
77.12,79.07,75.16,415050
74.18,85.86,62.49,327950
61.8,85.55,38.05,699050
58.8,40.52,77.09,639930
94.04,91.14,96.95,612800
93.28,96.46,90.1,410885.5
91.4,93.79,89.01,507050
91.17,95.75,86.59,273550
88.39,94.41,82.37,284050
88.36,87.41,89.31,610050
88.12,90.78,85.46,347550
86.56,87.79,85.33,308050
84.59,91.14,78.05,268050
84.54,90.78,78.3,317050
83.46,89.1,77.82,299500
83.34,83.34,83.33,241944
82.73,81.4,84.05,250000
82.61,75.01,90.2,784050
81.82,91.92,71.71,371550
81.14,90.78,71.49,275050
80.29,98.02,62.57,582050
78.96,77.34,80.58,589850
78.47,82.82,74.12,394950
75.36,82.82,67.9,373050
75.26,84.01,66.52,324950
74.22,72.5,75.95,332500
69.96,86.59,53.32,247050
68.38,71.88,64.89,452500
58.42,52.45,64.38,678050
95.41,92.43,98.4,649950
91.76,90.44,93.08,470050
91.44,93.72,89.16,319050
91.23,88.99,93.47,624950
90.91,98.85,82.96,539050
89.13,88.99,89.28,400050
88.55,94.4,82.69,345050
87.92,92.82,83.02,360050
87.59,92.82,82.36,279050
86.58,96.8,76.36,245300
86.48,93.72,79.24,389550
86.44,91.68,81.19,289050
85.03,82.42,87.64,270050
84.64,87.66,81.61,250049
83.84,91.68,76,320050
83.41,91.68,75.14,255050
82.84,86.34,79.34,249950
82.3,87.66,76.94,335050
81.25,87.66,74.83,699050
80.6,95.96,65.24,324950
79.23,72.09,86.38,849050
78.72,86.34,71.09,394950
78.49,79.43,77.54,450050
76.44,86.34,66.54,262950
73.2,76.23,70.17,459050
