hotness_score,supply_score,demand_score,median_listing_price
95.57,95.56,95.57,298550
94,93.09,94.91,269950
93.71,90.01,97.41,569950
91.97,95.56,88.39,320050
91.41,87.02,95.8,500000
90.81,89.1,92.53,340050
90.71,92,89.42,341199
88.98,88.1,89.86,365050
87.78,92,83.57,229050
87.77,88.1,87.44,724950
86.63,85.63,87.63,250050
86.07,91.11,81.02,240050
79.21,75.27,83.16,220000
71.02,63.99,78.05,595050
68.13,49.72,86.54,286280
97.52,97.03,98,382050
96.53,95.09,97.98,241450
96.35,97.28,95.43,252050
95.79,94.39,97.18,299384.5
94.59,93.82,95.36,267300
94.5,92.05,96.95,608550
93.75,89.87,97.64,449994
93.62,95.84,91.39,342340.5
93.58,91.67,95.5,282550
93.39,88.54,98.25,552400
92.46,90.27,94.66,252525
91.36,93.07,89.66,742500
90.85,93.49,88.21,240450
89.58,90.27,88.9,337500
89.08,92.4,85.75,229050
88.62,84.3,92.93,476994
87.85,86.45,89.24,334525
86.71,87,86.43,229550
83.39,86.45,80.33,205550
75.48,75.23,75.73,286280
74.7,77.65,71.75,582045
97.78,97.13,98.42,305450
96.71,95.36,98.06,454050
96.64,94.65,98.62,367444
96.2,96.88,95.52,259050
95.96,97.82,94.11,290049
95.79,94.4,97.18,584050
95.45,95.59,95.31,257250
94.66,92.09,97.23,253550
93.53,97.13,89.93,244750
93.52,89.61,97.43,266207
92.81,95.87,89.75,324950
92.79,96.73,88.86,357995
92.7,90.84,94.56,742500
92.06,92.43,91.7,476550
91.89,88.87,94.91,624050
90.33,88.51,92.15,355050
89.64,87.62,91.66,199544
88.47,88.87,88.08,235000
88.25,81.96,94.53,289050
87.8,93.61,82,215050
87.07,91.14,83,282500
85.02,94.16,75.89,597050
98.72,99.18,98.26,297050
97.86,97.02,98.7,449500
97.76,97.31,98.21,357500
97.64,98.98,96.29,236300
97.08,97.16,97.01,285050
97.07,97.87,96.27,249750
96.22,97.43,95.01,255550
95.8,98.98,92.62,260050
95.74,95.01,96.47,565550
95.71,96.06,95.36,259050
95.22,96.9,93.55,346119
94.55,91.48,97.63,655000
94.46,98.9,90.03,275050
91.67,88.51,94.82,684050
91.33,92.67,90,334500
91.04,92.12,89.96,199050
90.39,94.11,86.66,234050
88.1,91.76,84.43,202500
86.36,84.61,88.12,336950
85.73,90.83,80.63,232550
84.88,77.77,91.99,499300
84.71,81.71,87.72,597564
82.92,83.69,82.15,246050
98.29,98.99,97.58,280025
97.43,96.81,98.06,445049.5
97.34,96.81,97.86,271550
96.56,98.89,94.24,335950
96.53,99.15,93.91,265050
96.11,96.45,95.78,597050
96.06,96.64,95.48,234050
94.96,91.67,98.26,520000
94.72,91.28,98.15,372525
94.64,96.45,92.83,274050
94.58,97.41,91.74,343000
94.16,95.8,92.52,243550
92.35,92.38,92.31,250000
91.43,85.34,97.51,542102.5
90.94,94.48,87.39,249950
90.84,86.68,95,739050
89.96,96.45,83.47,197550
86.48,91.67,81.3,232050
85.72,82.99,88.46,307000
85.53,83.55,87.51,243050
80.06,78.6,81.52,205049
79.72,66.82,92.61,499300
75.06,66.82,83.31,227050
74.9,64.87,84.93,694050
97.97,98.72,97.21,525050
96.35,95.87,96.84,282495
95.92,94.31,97.53,410025
95.53,95.06,96.01,283050
95.27,94.59,95.94,550050
93.75,94.01,93.5,367525
93.61,92.3,94.92,298050
92,87.76,96.23,553852.5
91.7,94.01,89.39,313145
91.6,94.01,89.18,275050
89.9,93.08,86.72,330050
88.89,93.75,84.02,239800
88.42,89.87,86.96,332450
88.03,92.3,83.75,246300
87.56,93.4,81.72,196000
87.3,88.58,86.02,269950
86.56,91.04,82.09,237300
85.64,86.23,85.05,199550
83.86,88.18,79.53,215550
82.91,75.29,90.54,687500
82.9,88.58,77.21,232525
80.69,83.58,77.79,223500
80.28,79.17,81.39,424050
97.71,98.61,96.8,545050
93.89,96.3,91.49,361738
93.56,99.29,87.83,255000
93.09,96.3,89.89,290050
92.57,95.04,90.11,275050
92.14,88.96,95.33,409050
92.02,94.22,89.83,577784
91.54,96.12,86.96,285049
90.82,95.78,85.86,335050
89.63,86.9,92.36,517499
88.69,92.7,84.67,392888
87.89,95.04,80.74,247050
87.02,93.49,80.56,329050
86.16,88.96,83.36,349950
85.96,87.9,84.02,200050
85.09,91.16,79.02,239950
83.93,81.6,86.26,299950
83.2,92.7,73.7,269950
82.8,91.16,74.45,232050
81.93,94.22,69.64,495050
81.93,76.8,87.06,695050
80.95,91.72,70.18,224938
73.84,87.9,59.77,197950
73.62,82.77,64.48,224050
68.33,86.09,50.57,219050
97.01,96.36,97.66,582050
96.2,97.32,95.08,583400
95.8,95.54,96.06,408050
93.68,98.85,88.51,279050
92.65,96.74,88.57,282500
92.34,93.97,90.72,379050
91.82,95.08,88.55,352050
91.34,97.69,84.98,337500
91.27,93.53,89.02,489000
90.52,96.9,84.14,285050
86.57,93.19,79.95,248550
85.89,87.7,84.07,289050
85.59,88.71,82.48,399950
85.36,96.12,74.6,329050
85.22,94.42,76.02,225050
84.92,95.89,73.96,275000
84.3,92.46,76.15,250000
84.25,94.77,73.72,270050
84.25,84.01,84.48,655050
83.22,94.42,72.03,218750
81.39,95.89,66.89,200012
81.31,94.42,68.21,229050
71.62,94.77,48.47,199525
69.53,74.1,64.96,227550
96.41,97.59,95.23,395050
93.05,93.19,92.92,576800
93.05,94.12,91.97,394550
92.89,97.26,88.51,292550
92.19,91.76,92.62,574550
92.15,96.82,87.48,292025
90.42,95.01,85.83,340050
89.58,95.63,83.53,218096
89.54,91.32,87.76,479975
89.11,97.74,80.47,340050
87.69,90.61,84.78,404500
86.81,93.19,80.44,194950
86.68,94.41,78.95,318750
86.61,98.69,74.52,264525
86.55,96.82,76.27,287550
86.26,94.12,78.39,267050
85.41,96.54,74.28,239500
85,98.69,71.31,199999.5
84.91,95.95,73.87,252500
84.82,95.01,74.63,351050
83.69,98.06,69.33,231750
82.59,91.32,73.86,248050
77.64,69.99,85.3,714050
60,69.28,50.71,237550
96.55,97.71,95.4,455050
96.53,96.26,96.79,409050
95.73,95.55,95.92,559050
94.43,95.55,93.32,297550
94.28,94.76,93.8,285050
92.67,94.03,91.31,389050
91.99,97.99,85.99,255050
91.76,93.36,90.15,299050
91.44,96.26,86.61,202050
90.25,94.76,85.75,249950
89.62,97.37,81.87,205050
88.57,91.48,85.65,349050
88.34,98.37,78.32,298850
87.84,96.98,78.71,265050
87.29,83.68,90.9,534950
87,91.48,82.52,475050
86.88,92.6,81.16,339950
86.68,96.26,77.1,239550
85.52,90.37,80.68,331965
85.43,83.68,87.17,190050
85.27,90.37,80.17,249050
85.01,82.34,87.68,695050
84.66,87.24,82.07,205050
83.54,85,82.08,400000
78.56,90.37,66.75,229050
